Tag	Tag File Name	Seq	Folder	Title	Author
Design	design.html	4	quotes	A working simple system	John Gall
Management	management.html	4	quotes	Cockpits with Instruments Controlled by Gremlins	Robert D. Austin
Measurement	measurement.html	4	quotes	Cockpits with Instruments Controlled by Gremlins	Robert D. Austin
Murder	murder.html	4	quotes	An Irreplaceable Compact	Edmund Crispin
Project Management	project-management.html	4	quotes	Belief in Impossible Things	Tom DeMarco and Timothy Lister
Software Development.Agility	software-development.agility.html	4	quotes	Rough consensus and running code	David D. Clark
TecFiction	tecfiction.html	4	quotes	An Irreplaceable Compact	Edmund Crispin
US Politics	us-politics.html	4	quotes	Bringing the worldview associated with sports-talk radio to politics	Jim Geraghty
US Politics	us-politics.html	4	quotes	The post-materialist turn in global politics	Ezra Klein
USA	usa.html	4	quotes	American decline	Tom Hayden
USA	usa.html	4	quotes	Bargaining away the experience of being alive	Mike Nichols
USA	usa.html	4	quotes	A Coke is a Coke	Andy Warhol
USA	usa.html	4	quotes	The Credibility of a Comedian	Jon Stewart
USA	usa.html	4	quotes	The Cult of Ignorance	Isaac Asimov
USA	usa.html	4	quotes	Education demands a certain daring	James Baldwin
USA	usa.html	4	quotes	Every Third American	H. L. Mencken
USA	usa.html	4	quotes	The exercise of the intellect	Alexis de Tocqueville
USA	usa.html	4	quotes	The Extent of Freedom in All of its Dimensions	Anthony M. Kennedy
USA	usa.html	4	quotes	Ism-mania	Robert Riskin
USA	usa.html	4	quotes	The Makers of Things	Barack Obama
USA	usa.html	4	quotes	We bludgeon one another with facts and theories	Henry Miller
USA	usa.html	4	quotes	We love America in a James Baldwin kind of way	Megan Rapinoe
aging	aging.html	4	quotes	How to Grow Old	Bertrand Russell
aging	aging.html	4	quotes	On Turning Eighty	Henry Miller
art	art.html	4	quotes	Art and Spirit	Ken Wilber
art	art.html	4	quotes	Art has to transform life itself	Lawrence Ferlinghetti
art	art.html	4	quotes	Art is a Hammer	Bertolt Brecht
art	art.html	4	quotes	Art is a lie that makes us realize truth	Pablo Picasso
art	art.html	4	quotes	Art presents us with a window into the minds of these people	Genevieve von Petzinger
art	art.html	4	quotes	Art, Science and Empire	William Blake
art	art.html	4	quotes	Cinema was about revelation	Martin Scorsese
art	art.html	4	quotes	Couldn’t everyone’s life become a work of art?	Michel Foucault
art	art.html	4	quotes	Deeper convictions of the heart	Leonard Cohen
art	art.html	4	quotes	The divine literatus	Walt Whitman
art	art.html	4	quotes	The dullness of fact	Isaac Asimov
art	art.html	4	quotes	Enemies of Art and Artist	Henry Miller
art	art.html	4	quotes	Excitement from Art	Anthony Burgess
art	art.html	4	quotes	Human psychology will never be fully explained	Adam Gopnik
art	art.html	4	quotes	The Inner Life of the Artist	Edward Hopper
art	art.html	4	quotes	The language of religion and poetry	Niels Bohr
art	art.html	4	quotes	Life is not like formula fiction	Anne Lamott
art	art.html	4	quotes	Little I recognized as music	Joe Boyd
art	art.html	4	quotes	The Loftiest and Purest Art	Walt Whitman
art	art.html	4	quotes	A Long Conversation	Bruce Springsteen
art	art.html	4	quotes	More Popular than Jesus	John Lennon
art	art.html	4	quotes	The Mysterious	Albert Einstein
art	art.html	4	quotes	Myth-Makers	Kurt Vonnegut
art	art.html	4	quotes	Myths are stronger than anyone could have imagined	Yuval Noah Harari
art	art.html	4	quotes	Never Knew Cocaine to Improve Anything	Joe Boyd
art	art.html	4	quotes	Notation not to be confused with music itself	Winthrop Sargeant
art	art.html	4	quotes	The only sensible procedure for a critic	W. H. Auden
art	art.html	4	quotes	The original naiveté	Henri Matisse
art	art.html	4	quotes	Our Reply to Violence	Leonard Bernstein
art	art.html	4	quotes	The Power of Art	Wynton Marsalis
art	art.html	4	quotes	Questioning one's habitual ways of seeing	Jenny Odell
art	art.html	4	quotes	Records we made together in the sixties	Joe Boyd
art	art.html	4	quotes	Sacred values	David R. Samson
art	art.html	4	quotes	The Songs are my Lexicon	Bob Dylan
art	art.html	4	quotes	Start with romance and build to a reality	Ray Bradbury
art	art.html	4	quotes	The Tautness of this Resonant Connection	Herb Bowie
art	art.html	4	quotes	That Magical Honeycomb of Words	Tom Robbins
art	art.html	4	quotes	Time is no match for Toni Morrison	Barack Obama
art	art.html	4	quotes	Unbelievable Heroes	John Rogers
art	art.html	4	quotes	The Undisputed Sovereignty of the Human Being	Wynton Marsalis
art	art.html	4	quotes	Vital and Significant Forms of Art	Raymond Chandler
art	art.html	4	quotes	We All Derive From the Same Source	Henry Miller
art	art.html	4	quotes	Why People Sing	Linda Ronstadt
art	art.html	4	quotes	Words that are empowered that make your hair stand on end	Allen Ginsberg
art	art.html	4	quotes	The world is failing precisely because	Richard Powers
attitude	attitude.html	4	quotes	You can't dance cheerfully	Rex Stout
autonomy	autonomy.html	4	quotes	Between Stimulus and Response	Rollo May
autonomy	autonomy.html	4	quotes	Freedom of Expression in Business	Tom Peters and Robert H. Waterman Jr.
autonomy	autonomy.html	4	quotes	Freedom of Judgment	Baruch Spinoza
autonomy	autonomy.html	4	quotes	The heart of liberty	Anthony M. Kennedy
autonomy	autonomy.html	4	quotes	Independence, freedom and opportunity for every member of society	Anu Partanen
autonomy	autonomy.html	4	quotes	Inextricably Linked in Freedom	Wynton Marsalis
autonomy	autonomy.html	4	quotes	Man must believe in an open future	Colin Wilson
autonomy	autonomy.html	4	quotes	The Most Precious Kind of Freedom	David Foster Wallace
autonomy	autonomy.html	4	quotes	The Philosophy of Jazz	Wynton Marsalis
autonomy	autonomy.html	4	quotes	Three basic forms of social liberty	David Graeber and David Wengrow
balance	balance.html	4	quotes	Balance is Required to Maintain Democracy	Wynton Marsalis
balance	balance.html	4	quotes	A Completely Free Market	Yuval Noah Harari
balance	balance.html	4	quotes	Consistency is the playground of dull minds	Yuval Noah Harari
