Tag	Tag File Name	Seq	Folder	Title	Author
Americana	americana.html	3	writings	Train to Birmingham	John Hiatt
Apple	apple.html	3	writings	Why Mandating 'X' Days a Week in the Office is a Stupid Idea	
Apple	apple.html	3	writings	Thoughts on AI: Apple and Otherwise	
Christmas	christmas.html	3	writings	Christmas (Baby Please Come Home)	Ellie Greenwich, Jeff Barry and Phil Spector
Christmas	christmas.html	3	writings	Christmas Song by Dave Matthews	Dave Matthews
Christmas	christmas.html	3	writings	Reflections on the Christian Message	
Christmas	christmas.html	3	writings	What Christmas Means to Me	
Christmas	christmas.html	3	writings	The Rebel Jesus - Song by Jackson Browne	
Christmas	christmas.html	3	writings	Father Christmas - Song by The Kinks	
Christmas	christmas.html	3	writings	Merry Christmas Baby - Song	
Christmas	christmas.html	3	writings	Christmas Time Back Home - Song by The Country Gentlemen	
Christmas	christmas.html	3	writings	Please Come Home for Christmas	
Christmas	christmas.html	3	writings	Holiday in Harlem	
Christmas	christmas.html	3	writings	Christmas Night in Harlem	
Christmas	christmas.html	3	writings	Christmas Bells	Henry Wadsworth Longfellow
Christmas	christmas.html	3	writings	Christmas Must Be Tonight	
Christmas	christmas.html	3	writings	Have Yourself a Merry Little Christmas	
Christmas	christmas.html	3	writings	Auld Lang Syne	Robert Burns
Christmas	christmas.html	3	writings	The Little Drummer Boy	
Christmas	christmas.html	3	writings	My Favorite Things	
Christmas	christmas.html	3	writings	Star of Wonder	
Christmas	christmas.html	3	writings	Christmas Time's A-Coming	
Christmas	christmas.html	3	writings	Boogie Woogie Santa Claus	Leon René
Christmas	christmas.html	3	writings	The Christmas Song	
Christmas	christmas.html	3	writings	Santa Claus is Coming to Town	
US politics	us-politics.html	3	writings	Why It's a Bad Time to be a Conservative	
US politics	us-politics.html	3	writings	Welcome To The Autonomous States of America	
US politics	us-politics.html	3	writings	The Progressive Problem	
US politics	us-politics.html	3	writings	A Baker’s Dozen of Post-Election Thoughts & Feelings	
US politics	us-politics.html	3	writings	Five Takeaways from the First 2024 Presidential Debate	
US politics	us-politics.html	3	writings	How the Dems Lost It	
US politics	us-politics.html	3	writings	Trump 2.0: Some Insights and Observations	
US politics	us-politics.html	3	writings	Calling for a US Sustainability Initiative	
US politics	us-politics.html	3	writings	The MAGA Bubble Finally Bursts	
US politics	us-politics.html	3	writings	The Progressive Path Forward - A 12-State Strategy	
US politics	us-politics.html	3	writings	The Challenge for Democrats: Playing the Long Game	
US politics	us-politics.html	3	writings	Where, Exactly, Are the Republicans Headed?	
US politics	us-politics.html	3	writings	The Decline of the Republican Party - First Gradually and then Suddenly	
US politics	us-politics.html	3	writings	Does the US Need a New, More Centrist, Political Party?	
US politics	us-politics.html	3	writings	The Dangers of Political Nostalgia	
US politics	us-politics.html	3	writings	The Big Truth	
US politics	us-politics.html	3	writings	Have Our Political Parties Turned Into Cults?	
US politics	us-politics.html	3	writings	What Trump Gets Right	
US politics	us-politics.html	3	writings	The Shocking Truth About Us Liberals	
US politics	us-politics.html	3	writings	Diving Back Into Our American Muddle	
US politics	us-politics.html	3	writings	The Clown Coup	
US politics	us-politics.html	3	writings	Undoing Trumpism	
USA	usa.html	3	writings	Our American Class System	
USA	usa.html	3	writings	Diving Back Into Our American Muddle	
aging	aging.html	3	writings	Angel from Montgomery	John Prine
aging	aging.html	3	writings	Train to Birmingham	John Hiatt
art	art.html	3	writings	All Along The Watchtower	Bob Dylan
art	art.html	3	writings	The Last Trip to Tulsa	Neil Young
art	art.html	3	writings	Rain	John Lennon and Paul McCartney
art	art.html	3	writings	Rosalita (Come Out Tonight)	Bruce Springsteen
art	art.html	3	writings	School Day	Chuck Berry
art	art.html	3	writings	Turn the Page	Bob Seger
art	art.html	3	writings	When I Paint My Masterpiece	Bob Dylan
art	art.html	3	writings	Art and the Eye of the Beholder	
art	art.html	3	writings	My Advice to Young People of All Ages	
art	art.html	3	writings	Dethroning the False God of User Experience Design	
art	art.html	3	writings	Citizen Kane vs. Citizen Bailey	
art	art.html	3	writings	Building a Case for the Detective Story	
art	art.html	3	writings	How to Listen to Music	
art	art.html	3	writings	Paul Thorn and his 800 Pound Jesus	Billy Maddox and Paul Thorn
art	art.html	3	writings	Getting Back to The Feeling	
art	art.html	3	writings	The Problem with AI Art	
authority	authority.html	3	writings	For What It's Worth	Stephen Stills
balance	balance.html	3	writings	In Defense of Balance	
balance	balance.html	3	writings	What To Do About Big Business?	
balance	balance.html	3	writings	Religious Freedom	
balance	balance.html	3	writings	Life is Complicated	
balance	balance.html	3	writings	Kindness by Design	
balance	balance.html	3	writings	My Prayer for a More Integral New Year	
balance	balance.html	3	writings	Are Political Parties Doing Us More Harm Than Good?	
balance	balance.html	3	writings	What Trump Gets Right	
community	community.html	3	writings	King Harvest (Has Surely Come)	Robbie Robertson
community	community.html	3	writings	Rosalita (Come Out Tonight)	Bruce Springsteen
community	community.html	3	writings	Desperados Under the Eaves	Warren Zevon
connection	connection.html	3	writings	Whenever Kindness Fails	Robert Earl Keen
connection	connection.html	3	writings	Core Design Principles for The Efficacy of Groups	
connection	connection.html	3	writings	We Are Multi-Tribal	
connection	connection.html	3	writings	Managing Our Identity Stacks	
connection	connection.html	3	writings	Dethroning the False God of User Experience Design	
connection	connection.html	3	writings	My Prayer for a More Integral New Year	
connection	connection.html	3	writings	Father Christmas - Song by The Kinks	
connection	connection.html	3	writings	Please Come Home for Christmas	
connection	connection.html	3	writings	Christmas Night in Harlem	
connection	connection.html	3	writings	Have Yourself a Merry Little Christmas	
connection	connection.html	3	writings	Auld Lang Syne	Robert Burns
connection	connection.html	3	writings	Christmas Time's A-Coming	
connection	connection.html	3	writings	Social Distancing and our Essential Nature	
connection	connection.html	3	writings	The Issues Swirling around Spotify and its Content Providers	
cowboys	cowboys.html	3	writings	Angel from Montgomery	John Prine
cowboys	cowboys.html	3	writings	If I Had a Boat	Lyle Lovett
cowboys	cowboys.html	3	writings	Whenever Kindness Fails	Robert Earl Keen
critical thinking	critical-thinking.html	3	writings	New Speedway Boogie	Robert Hunter and Jerry Garcia
critical thinking	critical-thinking.html	3	writings	Some Hard Truths About Human Population Growth	
critical thinking	critical-thinking.html	3	writings	The Nature of God	
critical thinking	critical-thinking.html	3	writings	Religious Freedom	
critical thinking	critical-thinking.html	3	writings	Reasons for Belief	
critical thinking	critical-thinking.html	3	writings	Understanding Human History	
critical thinking	critical-thinking.html	3	writings	Some Hard-Won Wisdom Concerning Cults	
critical thinking	critical-thinking.html	3	writings	Have We Passed The Point of Maximum Useful Tech?	
critical thinking	critical-thinking.html	3	writings	Life is Complicated	
critical thinking	critical-thinking.html	3	writings	Our Three Human Approaches to Dealing with Problems	
critical thinking	critical-thinking.html	3	writings	Why I Use Markdown (And Why You Should Too)	
critical thinking	critical-thinking.html	3	writings	Are Political Parties Doing Us More Harm Than Good?	
critical thinking	critical-thinking.html	3	writings	The MAGA Bubble Finally Bursts	
critical thinking	critical-thinking.html	3	writings	Where, Exactly, Are the Republicans Headed?	
critical thinking	critical-thinking.html	3	writings	The Decline of the Republican Party - First Gradually and then Suddenly	
critical thinking	critical-thinking.html	3	writings	The Dangers of Political Nostalgia	
critical thinking	critical-thinking.html	3	writings	Have Our Political Parties Turned Into Cults?	
critical thinking	critical-thinking.html	3	writings	Building a Case for the Detective Story	
critical thinking	critical-thinking.html	3	writings	Keeping to the Cackle with AI	
critical thinking	critical-thinking.html	3	writings	The Clown Coup	
critical thinking	critical-thinking.html	3	writings	Earned Value Management (EVM) for Mere Mortals	
cultural evolution	cultural-evolution.html	3	writings	Developmental Levels	
cultural evolution	cultural-evolution.html	3	writings	Developmental Levels as Complementary Modes of Behavior	
cultural evolution	cultural-evolution.html	3	writings	Developmental Levels as Evolving Social Structures	
cultural evolution	cultural-evolution.html	3	writings	Core Design Principles for The Efficacy of Groups	
cultural evolution	cultural-evolution.html	3	writings	Evolution and Its Implications	
cultural evolution	cultural-evolution.html	3	writings	Human Culture and its Evolution	
cultural evolution	cultural-evolution.html	3	writings	Patterns of Human Cooperation	
cultural evolution	cultural-evolution.html	3	writings	Rebuilding Trust in Our Large Institutions	
cultural evolution	cultural-evolution.html	3	writings	Religion, Storytelling and Art	
cultural evolution	cultural-evolution.html	3	writings	The Systemic Era	
cultural evolution	cultural-evolution.html	3	writings	What Does It Mean to be Human?	
cultural evolution	cultural-evolution.html	3	writings	Understanding Human History	
cultural evolution	cultural-evolution.html	3	writings	Cooperation, Competition and Coercion	
cultural evolution	cultural-evolution.html	3	writings	Have We Passed The Point of Maximum Useful Tech?	
cultural evolution	cultural-evolution.html	3	writings	Talking Openly about Hierarchy	
cultural evolution	cultural-evolution.html	3	writings	A Broadcast Consciousness	
cultural evolution	cultural-evolution.html	3	writings	Life is Complicated	
cultural evolution	cultural-evolution.html	3	writings	The Personal vs. The Institutional	
cultural evolution	cultural-evolution.html	3	writings	Citizen Kane vs. Citizen Bailey	
cultural evolution	cultural-evolution.html	3	writings	Help! Help! The Robots are Coming!	
cultural evolution	cultural-evolution.html	3	writings	Can the US Become a Truly Egalitarian Society?	
cultural evolution	cultural-evolution.html	3	writings	A Practopian Approach to Gun Issues in the US	
cultural evolution	cultural-evolution.html	3	writings	How the Dems Lost It	
cultural evolution	cultural-evolution.html	3	writings	The Progressive Path Forward - A 12-State Strategy	
cultural evolution	cultural-evolution.html	3	writings	Building a Case for the Detective Story	
cultural evolution	cultural-evolution.html	3	writings	Apollo 11 - 2019 film	
cultural evolution	cultural-evolution.html	3	writings	A Note For Posterity	
cultural evolution	cultural-evolution.html	3	writings	Christmas Must Be Tonight	
cultural evolution	cultural-evolution.html	3	writings	Diving Back Into Our American Muddle	
cultural evolution	cultural-evolution.html	3	writings	Lessons to be Learned from the Fall of Afghanistan	
cultural evolution	cultural-evolution.html	3	writings	A Traditional Remedy for the Facebook Problem: Competition	
cultural evolution	cultural-evolution.html	3	writings	8 Big Lessons We Can Learn from the Pandemic	
death	death.html	3	writings	And When I Die	Laura Nyro
death	death.html	3	writings	Box of Rain	Robert Hunter and Phil Lesh
death	death.html	3	writings	Late For The Sky	Jackson Browne
death	death.html	3	writings	Long Black Veil	Danny Dill and Marijohn Wilkin
death	death.html	3	writings	New Speedway Boogie	Robert Hunter and Jerry Garcia
death	death.html	3	writings	Will the Circle be Unbroken	A.P. Carter
death	death.html	3	writings	My Ride's Here	Warren Zevon & Paul Muldoon
death	death.html	3	writings	Pancho and Lefty	Townes Van Zandt
death	death.html	3	writings	Remembering Hank	
democracy	democracy.html	3	writings	Democracy	
democracy	democracy.html	3	writings	The Truth About Capitalism	
democracy	democracy.html	3	writings	What To Do About Big Business?	
democracy	democracy.html	3	writings	Religion, Storytelling and Art	
democracy	democracy.html	3	writings	Why Do We Call It Capitalism?	
democracy	democracy.html	3	writings	How to Fix Big Tech	
democracy	democracy.html	3	writings	Of Idiots and Autocrats	
democracy	democracy.html	3	writings	Our American Class System	
democracy	democracy.html	3	writings	The Personal vs. The Institutional	
democracy	democracy.html	3	writings	The System is Working Very Well, Thank You	
democracy	democracy.html	3	writings	The Progressive Problem	
democracy	democracy.html	3	writings	The MAGA Bubble Finally Bursts	
democracy	democracy.html	3	writings	The Progressive Path Forward - A 12-State Strategy	
democracy	democracy.html	3	writings	The Challenge for Democrats: Playing the Long Game	
democracy	democracy.html	3	writings	Where, Exactly, Are the Republicans Headed?	
democracy	democracy.html	3	writings	The Decline of the Republican Party - First Gradually and then Suddenly	
democracy	democracy.html	3	writings	The Dangers of Political Nostalgia	
democracy	democracy.html	3	writings	The Big Truth	
democracy	democracy.html	3	writings	What Trump Gets Right	
democracy	democracy.html	3	writings	Is There Any Middle Left?	
democracy	democracy.html	3	writings	Ukrainian Lives Matter	
democracy	democracy.html	3	writings	The Importance of Progressive Activism	
democracy	democracy.html	3	writings	Lessons to be Learned from the Fall of Afghanistan	
democracy	democracy.html	3	writings	A Traditional Remedy for the Facebook Problem: Competition	
